file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,churn,files,NR,NBF,nc,ncom,avg_cs,dsc,ce,exp,own,is_controller,is_procedural,is_test,is_util,is_external
D:\paper\xai_demo\.\demo\OpenLegislation\src\main\java\gov\nysenate\openleg\spotchecks\scraping\lrs\LRSScraper.java,gov.nysenate.openleg.spotchecks.scraping.lrs.LRSScraper,class,5,6,1,5,12,2,0,26,0,0.48888886,0.6,0.6,5,1,5,0,0,0,5,0,0,0,9,1,0,6,0,3,6,0,10,87,2,2,0,0,0,38,9,36,7,36,3,0,0,0,69,1,15,4435,198,0,1,8.0,6.0,24.75,4.24,1.7389925308806082,1.3333333333333333,0.25,False,False,False,False,False
D:\paper\xai_demo\.\demo\OpenLegislation\src\test\java\gov\nysenate\openleg\processors\law\RulesLawBuilderTest.java,gov.nysenate.openleg.processors.law.RulesLawBuilderTest,class,9,10,1,9,10,1,0,35,1,0.5555556,,,3,1,1,2,0,0,1,0,0,0,3,3,0,3,0,0,3,0,5,49,2,4,1,1,2,39,3,18,7,20,1,0,0,2,75,1,0,3384,54,1,0,3.0,1.0,18.0,2.0,1.0091366718296015,3.0,1.0,True,False,True,False,False
D:\paper\xai_demo\.\demo\OpenLegislation\src\main\java\gov\nysenate\openleg\processors\config\ProcessConfig.java,gov.nysenate.openleg.processors.config.ProcessConfig,class,10,13,3,10,7,1,0,23,13,0.79999995,0.0,0.0,6,0,3,3,0,0,3,0,0,0,5,4,0,5,0,0,5,0,6,31,5,0,1,0,0,4,2,8,1,8,1,0,0,0,119,1,0,5402,139,3,5,18.0,2.0,7.722222222222222,0.0,1.48545649235154,9.0,0.8333333333333334,True,False,False,False,False
D:\paper\xai_demo\.\demo\OpenLegislation\src\main\java\gov\nysenate\openleg\processors\sourcefile\sobi\FsSobiDaoTest.java,gov.nysenate.openleg.processors.sourcefile.sobi.FsSobiDaoTest,class,8,9,1,8,12,1,0,8,64,0.88888884,0.015151516,0.015151516,12,0,12,0,0,0,12,0,0,0,3,1,0,3,0,0,1,0,0,33,0,0,0,0,0,2,0,3,0,6,0,0,0,1,28,1,2,16745,643,3,3,12.0,5.0,53.583333333333336,6.793388429752066,2.2980855354790464,2.4,0.5,True,False,True,False,False
D:\paper\xai_demo\.\demo\OpenLegislation\src\main\java\gov\nysenate\openleg\api\legislation\bill\view\BillPdfView.java,gov.nysenate.openleg.api.legislation.bill.view.BillPdfView,class,19,22,3,19,21,2,0,67,8,0.8,1.0,1.0,5,1,1,3,1,0,2,0,0,0,5,4,0,5,0,0,5,0,7,92,0,0,1,1,0,25,3,28,5,29,2,0,0,3,134,1,1,7809,261,4,9,20.0,5.0,13.05,8.325259515570934,2.558841059519174,4.0,0.45,False,True,False,False,False
D:\paper\xai_demo\.\demo\OpenLegislation\src\main\java\gov\nysenate\openleg\spotchecks\keymapper\AgendaMeetingWeekKeyMapper.java,gov.nysenate.openleg.spotchecks.keymapper.AgendaMeetingWeekKeyMapper,class,3,3,0,3,3,1,0,20,1,0.33333334,0.33333334,0.33333334,3,0,3,0,0,0,3,0,0,0,1,1,0,1,0,0,1,0,5,14,3,0,0,0,0,10,0,1,0,1,0,0,0,0,25,1,0,2115,63,3,1,3.0,2.0,21.0,7.0,0.8653795074265015,1.5,0.6666666666666666,False,False,False,False,False
D:\paper\xai_demo\.\demo\OpenLegislation\src\main\java\gov\nysenate\openleg\processors\bill\xml\XmlFile.java,gov.nysenate.openleg.processors.bill.xml.XmlFile,class,2,5,3,2,6,2,0,8,6,0.75,0.0,0.0,4,0,4,0,0,0,4,0,0,0,2,2,0,2,0,0,2,0,3,27,2,0,0,1,0,8,0,5,3,5,2,0,0,0,59,1,0,22739,634,5,9,16.0,6.0,39.625,4.222222222222222,2.470056510637458,2.6666666666666665,0.5,True,False,False,False,False
D:\paper\xai_demo\.\demo\OpenLegislation\src\main\java\gov\nysenate\openleg\spotchecks\sensite\bill\SenateSiteBillVote.java,gov.nysenate.openleg.spotchecks.sensite.bill.SenateSiteBillVote,class,11,15,4,11,11,1,0,22,7,0.63333327,0.42222223,0.8,10,0,10,0,0,0,10,0,0,0,6,0,0,6,0,0,0,0,1,57,8,0,1,0,0,0,1,16,0,13,1,0,0,2,36,1,0,385,12,0,1,1.0,1.0,12.0,0.0,0.0,1.0,1.0,False,False,False,False,False
D:\paper\xai_demo\.\demo\OpenLegislation\src\main\java\gov\nysenate\openleg\spotchecks\alert\calendar\FloorCalendarSpotcheckReference.java,gov.nysenate.openleg.spotchecks.alert.calendar.FloorCalendarSpotcheckReference,class,6,7,1,6,12,1,0,0,30,0.73333335,0.27272728,1.0,12,0,12,0,0,0,12,0,0,0,5,0,0,5,0,0,0,0,0,47,6,0,0,0,0,0,0,10,0,5,0,0,0,0,40,1,0,688,18,0,0,2.0,2.0,9.0,6.0,0.6365141682948128,1.0,0.5,False,False,False,False,False
D:\paper\xai_demo\.\demo\OpenLegislation\src\main\java\gov\nysenate\openleg\api\legislation\agenda\view\AgendaAttendanceView.java,gov.nysenate.openleg.api.legislation.agenda.view.AgendaAttendanceView,class,3,4,1,3,8,1,0,4,13,0.71428573,0.1904762,0.47619048,7,0,6,0,1,0,7,0,0,0,4,0,0,4,0,0,0,0,0,31,5,0,1,0,0,1,0,4,0,4,1,0,0,0,17,1,0,3873,167,1,1,6.0,3.0,27.833333333333332,6.78125,1.3644361145658843,2.0,0.3333333333333333,False,True,False,False,False
